task_id,machine_id,operator_id,timestamp,task_type,weather,operator_skill,machine_age_years,planned_quantity_tonnes,actual_quantity_tonnes,estimated_time_min,actual_time_min,cycle_count,average_cycle_time_sec,planned_start_time,actual_start_time,planned_end_time,actual_end_time
TSK00001,EXC001,OP1001,2026-01-01 06:00:00,Grading,Windy,Expert,1.2,223.3,230.3,260.5,258.8,304,41.6,2026-01-01 06:00:00,2026-01-01 05:54:00,2026-01-01 10:20:00,2026-01-01 10:12:00
TSK00061,EXC002,OP1003,2026-01-01 06:00:00,Earth Excavation,Sunny,Intermediate,7.9,189.5,189.3,136.4,133.4,216,30.6,2026-01-01 06:00:00,2026-01-01 05:52:00,2026-01-01 08:16:00,2026-01-01 08:05:00
TSK00121,EXC004,OP1005,2026-01-01 06:00:00,Material Loading,Windy,Intermediate,3.5,398.7,373.6,186.9,189.4,379,24.7,2026-01-01 06:00:00,2026-01-01 06:07:00,2026-01-01 09:06:00,2026-01-01 09:16:00
TSK00181,EXC005,OP1007,2026-01-01 06:00:00,Trenching,Sunny,Beginner,5.1,171.7,173.3,257.5,293.5,268,49.2,2026-01-01 06:00:00,2026-01-01 05:57:00,2026-01-01 10:17:00,2026-01-01 10:50:00
TSK00241,EXC007,OP1012,2026-01-01 06:00:00,Earth Excavation,Windy,Beginner,7.4,250.4,253.1,180.3,221.3,284,36.0,2026-01-01 06:00:00,2026-01-01 05:51:00,2026-01-01 09:00:00,2026-01-01 09:32:00
TSK00301,EXC008,OP1011,2026-01-01 06:00:00,Earth Excavation,Sunny,Beginner,6.8,292.6,265.5,210.7,219.3,271,34.0,2026-01-01 06:00:00,2026-01-01 05:58:00,2026-01-01 09:30:00,2026-01-01 09:37:00
TSK00361,EXC009,OP1013,2026-01-01 06:00:00,Grading,Windy,Beginner,1.1,160.4,152.3,187.1,231.1,177,58.8,2026-01-01 06:00:00,2026-01-01 06:13:00,2026-01-01 09:07:00,2026-01-01 10:04:00
TSK00421,LOD001,OP1015,2026-01-01 06:00:00,Earth Excavation,Sunny,Beginner,7.1,211.0,208.8,151.9,171.5,213,35.6,2026-01-01 06:00:00,2026-01-01 05:57:00,2026-01-01 08:31:00,2026-01-01 08:48:00
TSK00481,LOD002,OP1002,2026-01-01 06:00:00,Trenching,Sunny,Intermediate,5.7,154.1,172.1,231.2,265.8,278,41.6,2026-01-01 06:00:00,2026-01-01 06:15:00,2026-01-01 09:51:00,2026-01-01 10:40:00
TSK00541,LOD003,OP1004,2026-01-01 06:00:00,Grading,Sunny,Intermediate,8.3,169.8,169.5,198.1,217.6,197,48.3,2026-01-01 06:00:00,2026-01-01 06:16:00,2026-01-01 09:18:00,2026-01-01 09:53:00
TSK00002,EXC001,OP1001,2026-01-01 14:00:00,Material Loading,Cloudy,Expert,1.2,300.8,311.2,141.0,136.2,303,22.3,2026-01-01 14:00:00,2026-01-01 14:04:00,2026-01-01 16:21:00,2026-01-01 16:20:00
TSK00062,EXC002,OP1003,2026-01-01 14:00:00,Earth Excavation,Cloudy,Intermediate,7.9,281.5,273.6,202.7,231.0,319,31.0,2026-01-01 14:00:00,2026-01-01 14:15:00,2026-01-01 17:22:00,2026-01-01 18:06:00
TSK00122,EXC004,OP1005,2026-01-01 14:00:00,Earth Excavation,Cloudy,Intermediate,3.5,232.7,231.5,167.5,179.5,263,31.4,2026-01-01 14:00:00,2026-01-01 14:03:00,2026-01-01 16:47:00,2026-01-01 17:02:00
TSK00182,EXC005,OP1007,2026-01-01 14:00:00,Earth Excavation,Cloudy,Beginner,5.1,300.7,305.2,216.5,250.8,356,35.3,2026-01-01 14:00:00,2026-01-01 14:08:00,2026-01-01 17:36:00,2026-01-01 18:18:00
TSK00242,EXC007,OP1012,2026-01-01 14:00:00,Material Loading,Cloudy,Beginner,7.4,260.2,250.8,122.0,149.6,235,29.2,2026-01-01 14:00:00,2026-01-01 13:57:00,2026-01-01 16:02:00,2026-01-01 16:26:00
TSK00302,EXC008,OP1011,2026-01-01 14:00:00,Trenching,Windy,Beginner,6.8,154.8,153.4,232.2,275.4,282,48.9,2026-01-01 14:00:00,2026-01-01 14:03:00,2026-01-01 17:52:00,2026-01-01 18:38:00
TSK00362,EXC009,OP1013,2026-01-01 14:00:00,Material Loading,Cloudy,Beginner,1.1,333.2,309.0,156.2,168.9,291,27.8,2026-01-01 14:00:00,2026-01-01 13:55:00,2026-01-01 16:36:00,2026-01-01 16:43:00
TSK00422,LOD001,OP1015,2026-01-01 14:00:00,Earth Excavation,Windy,Beginner,7.1,296.6,320.3,213.6,303.0,386,35.5,2026-01-01 14:00:00,2026-01-01 14:09:00,2026-01-01 17:33:00,2026-01-01 19:12:00
TSK00482,LOD002,OP1002,2026-01-01 14:00:00,Demolition,Windy,Intermediate,5.7,136.6,134.4,263.4,289.9,223,55.0,2026-01-01 14:00:00,2026-01-01 14:00:00,2026-01-01 18:23:00,2026-01-01 18:49:00
TSK00542,LOD003,OP1004,2026-01-01 14:00:00,Earth Excavation,Cloudy,Intermediate,8.3,257.8,233.5,185.6,184.9,269,33.5,2026-01-01 14:00:00,2026-01-01 14:16:00,2026-01-01 17:05:00,2026-01-01 17:20:00
TSK00003,EXC001,OP1001,2026-01-02 06:00:00,Earth Excavation,Sunny,Expert,1.2,231.0,221.4,166.3,147.8,273,27.2,2026-01-02 06:00:00,2026-01-02 06:04:00,2026-01-02 08:46:00,2026-01-02 08:31:00
TSK00063,EXC002,OP1003,2026-01-02 06:00:00,Trenching,Sunny,Intermediate,7.9,146.2,150.4,219.3,229.0,217,44.7,2026-01-02 06:00:00,2026-01-02 06:15:00,2026-01-02 09:39:00,2026-01-02 10:04:00
TSK00123,EXC004,OP1005,2026-01-02 06:00:00,Grading,Sunny,Intermediate,3.5,174.0,162.4,203.0,193.4,185,48.4,2026-01-02 06:00:00,2026-01-02 05:50:00,2026-01-02 09:23:00,2026-01-02 09:03:00
TSK00183,EXC005,OP1007,2026-01-02 06:00:00,Trenching,Sunny,Beginner,5.1,133.4,136.7,200.1,236.6,244,47.8,2026-01-02 06:00:00,2026-01-02 06:11:00,2026-01-02 09:20:00,2026-01-02 10:07:00
TSK00243,EXC007,OP1012,2026-01-02 06:00:00,Material Loading,Sunny,Beginner,7.4,287.0,249.9,134.5,133.8,234,27.8,2026-01-02 06:00:00,2026-01-02 06:04:00,2026-01-02 08:14:00,2026-01-02 08:17:00
TSK00303,EXC008,OP1011,2026-01-02 06:00:00,Earth Excavation,Cloudy,Beginner,6.8,229.7,232.8,165.4,210.2,260,36.7,2026-01-02 06:00:00,2026-01-02 06:16:00,2026-01-02 08:45:00,2026-01-02 09:46:00
TSK00363,EXC009,OP1013,2026-01-02 06:00:00,Trenching,Sunny,Beginner,1.1,153.5,157.3,230.2,276.6,274,51.3,2026-01-02 06:00:00,2026-01-02 06:00:00,2026-01-02 09:50:00,2026-01-02 10:36:00
TSK00423,LOD001,OP1015,2026-01-02 06:00:00,Trenching,Cloudy,Beginner,7.1,123.1,122.9,184.6,228.5,185,53.1,2026-01-02 06:00:00,2026-01-02 06:15:00,2026-01-02 09:04:00,2026-01-02 10:03:00
TSK00483,LOD002,OP1002,2026-01-02 06:00:00,Earth Excavation,Cloudy,Intermediate,5.7,301.0,295.0,216.7,216.6,325,30.0,2026-01-02 06:00:00,2026-01-02 06:16:00,2026-01-02 09:36:00,2026-01-02 09:52:00
TSK00543,LOD003,OP1004,2026-01-02 06:00:00,Earth Excavation,Sunny,Intermediate,8.3,246.8,250.5,177.7,189.0,261,31.9,2026-01-02 06:00:00,2026-01-02 06:18:00,2026-01-02 08:57:00,2026-01-02 09:27:00
TSK00004,EXC001,OP1001,2026-01-02 14:00:00,Earth Excavation,Sunny,Expert,1.2,238.5,237.0,171.7,152.8,252,26.3,2026-01-02 14:00:00,2026-01-02 13:54:00,2026-01-02 16:51:00,2026-01-02 16:26:00
TSK00064,EXC002,OP1003,2026-01-02 14:00:00,Grading,Rainy,Intermediate,7.9,162.7,155.4,189.8,228.1,221,50.3,2026-01-02 14:00:00,2026-01-02 13:51:00,2026-01-02 17:09:00,2026-01-02 17:39:00
TSK00124,EXC004,OP1005,2026-01-02 14:00:00,Trenching,Sunny,Intermediate,3.5,159.5,155.2,239.2,228.2,236,41.3,2026-01-02 14:00:00,2026-01-02 14:10:00,2026-01-02 17:59:00,2026-01-02 17:58:00
TSK00184,EXC005,OP1007,2026-01-02 14:00:00,Material Loading,Rainy,Beginner,5.1,340.0,359.4,159.4,255.2,425,29.6,2026-01-02 14:00:00,2026-01-02 14:07:00,2026-01-02 16:39:00,2026-01-02 18:22:00
TSK00244,EXC007,OP1012,2026-01-02 14:00:00,Earth Excavation,Sunny,Beginner,7.4,255.0,276.6,183.6,245.2,340,36.0,2026-01-02 14:00:00,2026-01-02 14:19:00,2026-01-02 17:03:00,2026-01-02 18:24:00
TSK00304,EXC008,OP1011,2026-01-02 14:00:00,Material Loading,Sunny,Beginner,6.8,349.5,334.7,163.8,183.1,301,30.0,2026-01-02 14:00:00,2026-01-02 13:58:00,2026-01-02 16:43:00,2026-01-02 17:01:00
TSK00364,EXC009,OP1013,2026-01-02 14:00:00,Material Loading,Sunny,Beginner,1.1,341.6,339.0,160.1,174.1,327,27.1,2026-01-02 14:00:00,2026-01-02 14:05:00,2026-01-02 16:40:00,2026-01-02 16:59:00
TSK00424,LOD001,OP1015,2026-01-02 14:00:00,Material Loading,Sunny,Beginner,7.1,296.3,312.9,138.9,174.0,283,28.5,2026-01-02 14:00:00,2026-01-02 14:16:00,2026-01-02 16:18:00,2026-01-02 17:10:00
TSK00484,LOD002,OP1002,2026-01-02 14:00:00,Earth Excavation,Sunny,Intermediate,5.7,256.9,267.5,185.0,186.1,281,30.1,2026-01-02 14:00:00,2026-01-02 14:00:00,2026-01-02 17:05:00,2026-01-02 17:06:00
TSK00544,LOD003,OP1004,2026-01-02 14:00:00,Material Loading,Rainy,Intermediate,8.3,274.1,266.7,128.5,152.7,300,25.3,2026-01-02 14:00:00,2026-01-02 14:18:00,2026-01-02 16:08:00,2026-01-02 16:50:00
TSK00005,EXC001,OP1001,2026-01-03 06:00:00,Demolition,Cloudy,Expert,1.2,139.9,142.0,269.8,241.7,231,50.0,2026-01-03 06:00:00,2026-01-03 05:51:00,2026-01-03 10:29:00,2026-01-03 09:52:00
TSK00065,EXC002,OP1003,2026-01-03 06:00:00,Earth Excavation,Sunny,Intermediate,7.9,273.1,288.3,196.6,191.7,274,31.6,2026-01-03 06:00:00,2026-01-03 06:07:00,2026-01-03 09:16:00,2026-01-03 09:18:00
TSK00125,EXC004,OP1005,2026-01-03 06:00:00,Earth Excavation,Cloudy,Intermediate,3.5,289.4,251.9,208.4,185.3,271,31.0,2026-01-03 06:00:00,2026-01-03 06:03:00,2026-01-03 09:28:00,2026-01-03 09:08:00
TSK00185,EXC005,OP1007,2026-01-03 06:00:00,Earth Excavation,Sunny,Beginner,5.1,289.1,278.9,208.2,254.1,374,34.4,2026-01-03 06:00:00,2026-01-03 06:15:00,2026-01-03 09:28:00,2026-01-03 10:29:00
TSK00245,EXC007,OP1012,2026-01-03 06:00:00,Trenching,Cloudy,Beginner,7.4,159.1,160.8,238.7,284.8,247,48.7,2026-01-03 06:00:00,2026-01-03 06:03:00,2026-01-03 09:58:00,2026-01-03 10:47:00
TSK00305,EXC008,OP1011,2026-01-03 06:00:00,Earth Excavation,Sunny,Beginner,6.8,238.6,254.9,171.8,214.1,269,35.2,2026-01-03 06:00:00,2026-01-03 05:58:00,2026-01-03 08:51:00,2026-01-03 09:32:00
TSK00365,EXC009,OP1013,2026-01-03 06:00:00,Grading,Cloudy,Beginner,1.1,136.5,135.8,159.2,172.7,145,53.5,2026-01-03 06:00:00,2026-01-03 06:06:00,2026-01-03 08:39:00,2026-01-03 08:58:00
TSK00425,LOD001,OP1015,2026-01-03 06:00:00,Trenching,Sunny,Beginner,7.1,173.0,176.2,259.5,318.8,285,51.2,2026-01-03 06:00:00,2026-01-03 06:10:00,2026-01-03 10:19:00,2026-01-03 11:28:00
TSK00485,LOD002,OP1002,2026-01-03 06:00:00,Earth Excavation,Sunny,Intermediate,5.7,213.1,197.4,153.4,139.9,214,33.2,2026-01-03 06:00:00,2026-01-03 06:07:00,2026-01-03 08:33:00,2026-01-03 08:26:00
TSK00545,LOD003,OP1004,2026-01-03 06:00:00,Demolition,Sunny,Intermediate,8.3,175.5,163.3,338.5,341.3,274,57.5,2026-01-03 06:00:00,2026-01-03 06:05:00,2026-01-03 11:38:00,2026-01-03 11:46:00
